mode: set
slack-buddy-ai/pkg/slack/client.go:22.47,24.50 1 1
slack-buddy-ai/pkg/slack/interface.go:26.68,28.2 1 1
slack-buddy-ai/pkg/slack/interface.go:30.116,32.2 1 1
slack-buddy-ai/pkg/slack/interface.go:34.106,36.2 1 1
slack-buddy-ai/pkg/slack/mock.go:26.38,35.2 1 1
slack-buddy-ai/pkg/slack/mock.go:37.68,38.28 1 1
slack-buddy-ai/pkg/slack/mock.go:38.28,40.3 1 1
slack-buddy-ai/pkg/slack/mock.go:41.2,41.32 1 1
slack-buddy-ai/pkg/slack/mock.go:44.116,45.36 1 1
slack-buddy-ai/pkg/slack/mock.go:45.36,47.3 1 1
slack-buddy-ai/pkg/slack/mock.go:48.2,48.28 1 1
slack-buddy-ai/pkg/slack/mock.go:51.106,52.31 1 1
slack-buddy-ai/pkg/slack/mock.go:52.31,54.3 1 1
slack-buddy-ai/pkg/slack/mock.go:58.2,64.49 3 1
slack-buddy-ai/pkg/slack/mock.go:69.87,83.2 2 1
slack-buddy-ai/pkg/slack/mock.go:85.52,86.14 1 1
slack-buddy-ai/pkg/slack/mock.go:86.14,88.3 1 1
slack-buddy-ai/pkg/slack/mock.go:88.8,90.3 1 1
slack-buddy-ai/pkg/slack/mock.go:93.64,94.14 1 1
slack-buddy-ai/pkg/slack/mock.go:94.14,96.3 1 1
slack-buddy-ai/pkg/slack/mock.go:96.8,98.3 1 1
slack-buddy-ai/pkg/slack/mock.go:101.62,102.19 1 1
slack-buddy-ai/pkg/slack/mock.go:103.23,104.51 1 1
slack-buddy-ai/pkg/slack/mock.go:105.27,106.55 1 1
slack-buddy-ai/pkg/slack/mock.go:107.24,108.52 1 1
slack-buddy-ai/pkg/slack/mock.go:109.23,110.51 1 1
slack-buddy-ai/pkg/slack/mock.go:111.10,112.27 1 1
slack-buddy-ai/pkg/slack/mock.go:113.10,114.51 1 1
slack-buddy-ai/pkg/slack/mock.go:119.60,120.14 1 1
slack-buddy-ai/pkg/slack/mock.go:120.14,122.3 1 1
slack-buddy-ai/pkg/slack/mock.go:122.8,124.3 1 1
slack-buddy-ai/pkg/slack/mock.go:127.59,128.14 1 1
slack-buddy-ai/pkg/slack/mock.go:128.14,130.3 1 1
slack-buddy-ai/pkg/slack/mock.go:130.8,132.3 1 1
slack-buddy-ai/pkg/slack/mock.go:135.58,137.2 1 1
slack-buddy-ai/pkg/slack/mock.go:139.46,141.2 1 1
slack-buddy-ai/pkg/slack/mock.go:144.52,146.2 1 1
slack-buddy-ai/pkg/slack/mock.go:148.51,150.2 1 1
slack-buddy-ai/pkg/slack/mock.go:152.55,154.2 1 1
slack-buddy-ai/pkg/slack/mock.go:156.52,158.2 1 1
slack-buddy-ai/pkg/slack/security.go:10.45,11.17 1 1
slack-buddy-ai/pkg/slack/security.go:11.17,13.3 1 1
slack-buddy-ai/pkg/slack/security.go:16.2,16.40 1 1
slack-buddy-ai/pkg/slack/security.go:16.40,18.3 1 1
slack-buddy-ai/pkg/slack/security.go:21.2,22.41 2 1
slack-buddy-ai/pkg/slack/security.go:22.41,24.3 1 1
slack-buddy-ai/pkg/slack/security.go:27.2,27.21 1 1
slack-buddy-ai/pkg/slack/security.go:27.21,29.3 1 1
slack-buddy-ai/pkg/slack/security.go:31.2,31.12 1 1
slack-buddy-ai/pkg/slack/security.go:35.46,39.2 2 1
slack-buddy-ai/pkg/slack/security.go:42.52,43.23 1 1
slack-buddy-ai/pkg/slack/security.go:43.23,45.3 1 1
slack-buddy-ai/pkg/slack/security.go:48.2,51.16 2 1
slack-buddy-ai/pkg/slack/security.go:51.16,53.3 1 1
slack-buddy-ai/pkg/slack/security.go:56.2,57.39 2 1
slack-buddy-ai/pkg/slack/security.go:57.39,59.3 1 1
slack-buddy-ai/pkg/slack/security.go:61.2,61.20 1 1
slack-buddy-ai/pkg/slack/security.go:61.20,63.3 1 1
slack-buddy-ai/pkg/slack/security.go:65.2,65.12 1 1
slack-buddy-ai/main.go:7.13,9.2 1 0
slack-buddy-ai/cmd/channels.go:30.13,36.2 4 1
slack-buddy-ai/cmd/channels.go:38.57,40.17 2 1
slack-buddy-ai/cmd/channels.go:40.17,42.3 1 1
slack-buddy-ai/cmd/channels.go:44.2,45.16 2 1
slack-buddy-ai/cmd/channels.go:45.16,47.3 1 1
slack-buddy-ai/cmd/channels.go:49.2,52.16 3 1
slack-buddy-ai/cmd/channels.go:52.16,54.3 1 1
slack-buddy-ai/cmd/channels.go:56.2,57.16 2 0
slack-buddy-ai/cmd/channels.go:57.16,59.3 1 0
slack-buddy-ai/cmd/channels.go:61.2,61.27 1 0
slack-buddy-ai/cmd/channels.go:61.27,64.3 2 0
slack-buddy-ai/cmd/channels.go:66.2,67.38 2 0
slack-buddy-ai/cmd/channels.go:67.38,69.3 1 0
slack-buddy-ai/cmd/channels.go:71.2,71.22 1 0
slack-buddy-ai/cmd/channels.go:71.22,73.65 2 0
slack-buddy-ai/cmd/channels.go:73.65,75.4 1 0
slack-buddy-ai/cmd/channels.go:76.3,76.56 1 0
slack-buddy-ai/cmd/channels.go:79.2,79.12 1 0
slack-buddy-ai/cmd/root.go:17.16,18.42 1 1
slack-buddy-ai/cmd/root.go:18.42,21.3 2 0
slack-buddy-ai/cmd/root.go:24.13,28.2 3 1
slack-buddy-ai/cmd/root.go:30.19,33.2 2 1
