mode: atomic
slack-buddy-ai/main.go:14.13,16.2 1 0
slack-buddy-ai/pkg/slack/client.go:181.48,184.4 2 1
slack-buddy-ai/pkg/slack/client.go:185.3,185.47 1 2
slack-buddy-ai/pkg/slack/client.go:185.47,188.4 2 1
slack-buddy-ai/pkg/slack/client.go:189.3,189.65 1 1
slack-buddy-ai/pkg/slack/client.go:193.2,198.30 4 7
slack-buddy-ai/pkg/slack/client.go:198.30,200.27 2 7
slack-buddy-ai/pkg/slack/client.go:200.27,214.4 2 5
slack-buddy-ai/pkg/slack/client.go:217.2,218.25 2 7
slack-buddy-ai/pkg/slack/client.go:221.91,229.24 3 4
slack-buddy-ai/pkg/slack/client.go:229.24,231.3 1 3
slack-buddy-ai/pkg/slack/client.go:231.8,233.3 1 1
slack-buddy-ai/pkg/slack/client.go:235.2,237.30 2 4
slack-buddy-ai/pkg/slack/client.go:237.30,242.23 3 5
slack-buddy-ai/pkg/slack/client.go:242.23,244.4 1 4
slack-buddy-ai/pkg/slack/client.go:245.3,247.23 2 5
slack-buddy-ai/pkg/slack/client.go:247.23,249.4 1 2
slack-buddy-ai/pkg/slack/client.go:252.3,252.26 1 5
slack-buddy-ai/pkg/slack/client.go:252.26,254.4 1 1
slack-buddy-ai/pkg/slack/client.go:254.9,256.4 1 4
slack-buddy-ai/pkg/slack/client.go:259.2,259.25 1 4
slack-buddy-ai/pkg/slack/client.go:262.61,269.53 2 8
slack-buddy-ai/pkg/slack/client.go:269.53,275.3 2 1
slack-buddy-ai/pkg/slack/client.go:278.2,279.16 2 7
slack-buddy-ai/pkg/slack/client.go:279.16,281.3 1 1
slack-buddy-ai/pkg/slack/client.go:284.2,287.48 3 6
slack-buddy-ai/pkg/slack/client.go:287.48,289.3 1 0
slack-buddy-ai/pkg/slack/client.go:291.2,292.16 2 6
slack-buddy-ai/pkg/slack/client.go:292.16,301.47 3 3
slack-buddy-ai/pkg/slack/client.go:301.47,304.4 2 0
slack-buddy-ai/pkg/slack/client.go:306.3,306.48 1 3
slack-buddy-ai/pkg/slack/client.go:306.48,309.4 2 1
slack-buddy-ai/pkg/slack/client.go:310.3,310.52 1 2
slack-buddy-ai/pkg/slack/client.go:310.52,313.4 2 0
slack-buddy-ai/pkg/slack/client.go:314.3,314.49 1 2
slack-buddy-ai/pkg/slack/client.go:314.49,317.4 2 1
slack-buddy-ai/pkg/slack/client.go:318.3,318.70 1 1
slack-buddy-ai/pkg/slack/client.go:322.2,325.12 3 3
slack-buddy-ai/pkg/slack/client.go:328.48,330.16 2 6
slack-buddy-ai/pkg/slack/client.go:330.16,332.3 1 0
slack-buddy-ai/pkg/slack/client.go:334.2,339.8 1 6
slack-buddy-ai/pkg/slack/client.go:342.69,346.2 1 1
slack-buddy-ai/pkg/slack/client.go:350.102,355.16 3 6
slack-buddy-ai/pkg/slack/client.go:355.16,357.3 1 0
slack-buddy-ai/pkg/slack/client.go:360.2,361.16 2 6
slack-buddy-ai/pkg/slack/client.go:361.16,363.3 1 0
slack-buddy-ai/pkg/slack/client.go:366.2,369.48 3 6
slack-buddy-ai/pkg/slack/client.go:369.48,371.3 1 0
slack-buddy-ai/pkg/slack/client.go:374.2,380.16 3 6
slack-buddy-ai/pkg/slack/client.go:380.16,390.47 3 1
slack-buddy-ai/pkg/slack/client.go:390.47,393.4 2 0
slack-buddy-ai/pkg/slack/client.go:395.3,395.48 1 1
slack-buddy-ai/pkg/slack/client.go:395.48,397.4 1 0
slack-buddy-ai/pkg/slack/client.go:398.3,398.52 1 1
slack-buddy-ai/pkg/slack/client.go:398.52,400.4 1 0
slack-buddy-ai/pkg/slack/client.go:401.3,401.88 1 1
slack-buddy-ai/pkg/slack/client.go:405.2,411.44 4 5
slack-buddy-ai/pkg/slack/client.go:411.44,413.38 1 6
slack-buddy-ai/pkg/slack/client.go:413.38,414.12 1 2
slack-buddy-ai/pkg/slack/client.go:417.3,422.40 3 4
slack-buddy-ai/pkg/slack/client.go:422.40,424.4 1 5
slack-buddy-ai/pkg/slack/client.go:427.2,435.31 2 5
slack-buddy-ai/pkg/slack/client.go:439.116,440.31 1 3
slack-buddy-ai/pkg/slack/client.go:440.31,443.3 1 1
slack-buddy-ai/pkg/slack/client.go:446.2,447.16 2 2
slack-buddy-ai/pkg/slack/client.go:447.16,449.3 1 0
slack-buddy-ai/pkg/slack/client.go:452.2,453.35 2 2
slack-buddy-ai/pkg/slack/client.go:453.35,454.39 1 4
slack-buddy-ai/pkg/slack/client.go:454.39,457.4 2 1
slack-buddy-ai/pkg/slack/client.go:457.9,459.4 1 3
slack-buddy-ai/pkg/slack/client.go:462.2,468.30 2 2
slack-buddy-ai/pkg/slack/client.go:472.46,479.32 4 10
slack-buddy-ai/pkg/slack/client.go:479.32,480.21 1 13
slack-buddy-ai/pkg/slack/client.go:480.21,482.4 1 13
slack-buddy-ai/pkg/slack/client.go:485.2,485.19 1 10
slack-buddy-ai/pkg/slack/client.go:489.77,497.48 4 13
slack-buddy-ai/pkg/slack/client.go:497.48,499.3 1 0
slack-buddy-ai/pkg/slack/client.go:502.2,508.16 3 13
slack-buddy-ai/pkg/slack/client.go:508.16,511.3 2 0
slack-buddy-ai/pkg/slack/client.go:514.2,517.35 2 13
slack-buddy-ai/pkg/slack/client.go:517.35,518.32 1 12
slack-buddy-ai/pkg/slack/client.go:518.32,520.4 1 12
slack-buddy-ai/pkg/slack/client.go:523.2,523.62 1 1
slack-buddy-ai/pkg/slack/interface.go:21.50,25.2 1 4
slack-buddy-ai/pkg/slack/interface.go:27.68,29.2 1 1
slack-buddy-ai/pkg/slack/interface.go:31.116,33.2 1 0
slack-buddy-ai/pkg/slack/interface.go:35.142,37.2 1 0
slack-buddy-ai/pkg/slack/interface.go:39.106,41.2 1 0
slack-buddy-ai/pkg/slack/mock.go:28.38,39.2 1 42
slack-buddy-ai/pkg/slack/mock.go:41.68,42.28 1 35
slack-buddy-ai/pkg/slack/mock.go:42.28,44.3 1 2
slack-buddy-ai/pkg/slack/mock.go:45.2,45.32 1 33
slack-buddy-ai/pkg/slack/mock.go:48.116,49.36 1 26
slack-buddy-ai/pkg/slack/mock.go:49.36,51.3 1 5
slack-buddy-ai/pkg/slack/mock.go:52.2,52.28 1 21
slack-buddy-ai/pkg/slack/mock.go:55.142,56.42 1 6
slack-buddy-ai/pkg/slack/mock.go:56.42,58.3 1 1
slack-buddy-ai/pkg/slack/mock.go:60.2,61.13 2 5
slack-buddy-ai/pkg/slack/mock.go:61.13,63.3 1 1
slack-buddy-ai/pkg/slack/mock.go:65.2,67.8 1 5
slack-buddy-ai/pkg/slack/mock.go:70.106,71.31 1 9
slack-buddy-ai/pkg/slack/mock.go:71.31,73.3 1 4
slack-buddy-ai/pkg/slack/mock.go:76.2,82.49 3 5
slack-buddy-ai/pkg/slack/mock.go:87.87,89.2 1 19
slack-buddy-ai/pkg/slack/mock.go:91.107,106.2 2 19
slack-buddy-ai/pkg/slack/mock.go:108.52,109.14 1 5
slack-buddy-ai/pkg/slack/mock.go:109.14,111.3 1 4
slack-buddy-ai/pkg/slack/mock.go:111.8,113.3 1 1
slack-buddy-ai/pkg/slack/mock.go:116.64,117.14 1 4
slack-buddy-ai/pkg/slack/mock.go:117.14,119.3 1 3
slack-buddy-ai/pkg/slack/mock.go:119.8,121.3 1 1
slack-buddy-ai/pkg/slack/mock.go:124.91,125.14 1 2
slack-buddy-ai/pkg/slack/mock.go:125.14,126.20 1 1
slack-buddy-ai/pkg/slack/mock.go:126.20,128.4 1 0
slack-buddy-ai/pkg/slack/mock.go:129.3,129.54 1 1
slack-buddy-ai/pkg/slack/mock.go:130.8,132.3 1 1
slack-buddy-ai/pkg/slack/mock.go:135.62,136.19 1 9
slack-buddy-ai/pkg/slack/mock.go:137.23,138.51 1 1
slack-buddy-ai/pkg/slack/mock.go:139.27,140.55 1 2
slack-buddy-ai/pkg/slack/mock.go:141.24,142.52 1 2
slack-buddy-ai/pkg/slack/mock.go:143.23,144.51 1 1
slack-buddy-ai/pkg/slack/mock.go:145.10,146.27 1 1
slack-buddy-ai/pkg/slack/mock.go:147.10,148.51 1 2
slack-buddy-ai/pkg/slack/mock.go:153.60,154.14 1 4
slack-buddy-ai/pkg/slack/mock.go:154.14,156.3 1 3
slack-buddy-ai/pkg/slack/mock.go:156.8,158.3 1 1
slack-buddy-ai/pkg/slack/mock.go:161.59,162.14 1 3
slack-buddy-ai/pkg/slack/mock.go:162.14,164.3 1 2
slack-buddy-ai/pkg/slack/mock.go:164.8,166.3 1 1
slack-buddy-ai/pkg/slack/mock.go:169.58,171.2 1 4
slack-buddy-ai/pkg/slack/mock.go:173.46,175.2 1 1
slack-buddy-ai/pkg/slack/mock.go:177.92,178.34 1 6
slack-buddy-ai/pkg/slack/mock.go:178.34,180.3 1 0
slack-buddy-ai/pkg/slack/mock.go:182.2,191.86 2 6
slack-buddy-ai/pkg/slack/mock.go:194.67,195.14 1 1
slack-buddy-ai/pkg/slack/mock.go:195.14,197.3 1 1
slack-buddy-ai/pkg/slack/mock.go:197.8,199.3 1 0
slack-buddy-ai/pkg/slack/mock.go:203.52,205.2 1 1
slack-buddy-ai/pkg/slack/mock.go:207.51,209.2 1 1
slack-buddy-ai/pkg/slack/mock.go:211.55,213.2 1 1
slack-buddy-ai/pkg/slack/mock.go:215.52,217.2 1 1
slack-buddy-ai/pkg/slack/security.go:10.45,11.17 1 9
slack-buddy-ai/pkg/slack/security.go:11.17,13.3 1 2
slack-buddy-ai/pkg/slack/security.go:16.2,16.82 1 7
slack-buddy-ai/pkg/slack/security.go:16.82,18.3 1 2
slack-buddy-ai/pkg/slack/security.go:21.2,21.40 1 5
slack-buddy-ai/pkg/slack/security.go:21.40,23.3 1 2
slack-buddy-ai/pkg/slack/security.go:26.2,27.41 2 3
slack-buddy-ai/pkg/slack/security.go:27.41,29.3 1 3
slack-buddy-ai/pkg/slack/security.go:32.2,32.21 1 0
slack-buddy-ai/pkg/slack/security.go:32.21,34.3 1 0
slack-buddy-ai/pkg/slack/security.go:36.2,36.12 1 0
slack-buddy-ai/pkg/slack/security.go:40.46,50.2 5 4
slack-buddy-ai/pkg/slack/security.go:53.52,54.23 1 17
slack-buddy-ai/pkg/slack/security.go:54.23,56.3 1 2
slack-buddy-ai/pkg/slack/security.go:59.2,62.16 2 15
slack-buddy-ai/pkg/slack/security.go:62.16,64.3 1 1
slack-buddy-ai/pkg/slack/security.go:67.2,68.39 2 14
slack-buddy-ai/pkg/slack/security.go:68.39,70.3 1 2
slack-buddy-ai/pkg/slack/security.go:72.2,72.20 1 12
slack-buddy-ai/pkg/slack/security.go:72.20,74.3 1 1
slack-buddy-ai/pkg/slack/security.go:76.2,76.12 1 11
slack-buddy-ai/cmd/channels.go:37.13,44.2 5 1
slack-buddy-ai/cmd/channels.go:46.57,48.17 2 5
slack-buddy-ai/cmd/channels.go:48.17,50.3 1 1
slack-buddy-ai/cmd/channels.go:52.2,53.16 2 4
slack-buddy-ai/cmd/channels.go:53.16,55.3 1 1
slack-buddy-ai/cmd/channels.go:57.2,57.14 1 3
slack-buddy-ai/cmd/channels.go:57.14,59.3 1 0
slack-buddy-ai/cmd/channels.go:61.2,65.16 4 3
slack-buddy-ai/cmd/channels.go:65.16,67.3 1 3
slack-buddy-ai/cmd/channels.go:69.2,69.68 1 0
slack-buddy-ai/cmd/channels.go:72.115,74.16 2 12
slack-buddy-ai/cmd/channels.go:74.16,76.3 1 1
slack-buddy-ai/cmd/channels.go:79.2,79.27 1 11
slack-buddy-ai/cmd/channels.go:79.27,81.17 2 7
slack-buddy-ai/cmd/channels.go:81.17,83.4 1 1
slack-buddy-ai/cmd/channels.go:85.3,87.39 3 6
slack-buddy-ai/cmd/channels.go:87.39,93.4 1 2
slack-buddy-ai/cmd/channels.go:96.2,96.27 1 10
slack-buddy-ai/cmd/channels.go:96.27,101.3 2 2
slack-buddy-ai/cmd/channels.go:103.2,108.38 2 8
slack-buddy-ai/cmd/channels.go:108.38,114.3 2 8
slack-buddy-ai/cmd/channels.go:117.2,117.26 1 8
slack-buddy-ai/cmd/channels.go:117.26,120.39 3 8
slack-buddy-ai/cmd/channels.go:120.39,122.4 1 8
slack-buddy-ai/cmd/channels.go:125.2,125.27 1 8
slack-buddy-ai/cmd/channels.go:125.27,128.15 2 5
slack-buddy-ai/cmd/channels.go:128.15,134.4 5 1
slack-buddy-ai/cmd/channels.go:134.9,135.71 1 4
slack-buddy-ai/cmd/channels.go:135.71,141.5 2 1
slack-buddy-ai/cmd/channels.go:142.4,143.62 2 3
slack-buddy-ai/cmd/channels.go:147.2,147.12 1 7
slack-buddy-ai/cmd/health.go:31.13,34.2 2 1
slack-buddy-ai/cmd/health.go:36.57,43.17 5 3
slack-buddy-ai/cmd/health.go:43.17,48.3 4 1
slack-buddy-ai/cmd/health.go:49.2,50.19 2 2
slack-buddy-ai/cmd/health.go:50.19,52.3 1 2
slack-buddy-ai/cmd/health.go:55.2,56.32 2 2
slack-buddy-ai/cmd/health.go:56.32,61.3 4 1
slack-buddy-ai/cmd/health.go:62.2,67.16 4 1
slack-buddy-ai/cmd/health.go:67.16,71.3 3 1
slack-buddy-ai/cmd/health.go:72.2,77.16 4 0
slack-buddy-ai/cmd/health.go:77.16,82.3 4 0
slack-buddy-ai/cmd/health.go:83.2,84.19 2 0
slack-buddy-ai/cmd/health.go:84.19,87.3 2 0
slack-buddy-ai/cmd/health.go:90.2,92.31 3 0
slack-buddy-ai/cmd/health.go:92.31,94.40 2 0
slack-buddy-ai/cmd/health.go:94.40,96.4 1 0
slack-buddy-ai/cmd/health.go:97.3,98.52 2 0
slack-buddy-ai/cmd/health.go:100.2,104.55 3 0
slack-buddy-ai/cmd/health.go:104.55,108.3 3 0
slack-buddy-ai/cmd/health.go:108.8,110.3 1 0
slack-buddy-ai/cmd/health.go:112.2,117.12 5 0
slack-buddy-ai/cmd/health.go:120.44,122.2 1 9
slack-buddy-ai/cmd/health.go:124.62,128.64 2 2
slack-buddy-ai/cmd/health.go:128.64,129.87 1 2
slack-buddy-ai/cmd/health.go:129.87,131.4 1 0
slack-buddy-ai/cmd/health.go:140.2,140.15 1 2
slack-buddy-ai/cmd/health.go:143.57,149.16 4 2
slack-buddy-ai/cmd/health.go:149.16,151.3 1 1
slack-buddy-ai/cmd/health.go:153.2,153.19 1 1
slack-buddy-ai/cmd/health.go:153.19,155.3 1 1
slack-buddy-ai/cmd/health.go:157.2,157.12 1 1
slack-buddy-ai/cmd/health.go:160.38,169.2 1 9
slack-buddy-ai/cmd/health.go:171.47,172.43 1 7
slack-buddy-ai/cmd/health.go:172.43,173.35 1 25
slack-buddy-ai/cmd/health.go:173.35,175.4 1 3
slack-buddy-ai/cmd/health.go:177.2,177.14 1 4
slack-buddy-ai/cmd/root.go:24.47,26.68 1 1
slack-buddy-ai/cmd/root.go:26.68,28.30 2 1
slack-buddy-ai/cmd/root.go:28.30,30.5 1 1
slack-buddy-ai/cmd/root.go:31.4,31.30 1 1
slack-buddy-ai/cmd/root.go:31.30,33.5 1 1
slack-buddy-ai/cmd/root.go:34.4,34.10 1 1
slack-buddy-ai/cmd/root.go:37.3,37.13 1 0
slack-buddy-ai/cmd/root.go:41.41,47.42 4 3
slack-buddy-ai/cmd/root.go:47.42,50.3 1 0
slack-buddy-ai/cmd/root.go:53.13,62.92 5 1
slack-buddy-ai/cmd/root.go:62.92,64.3 1 0
slack-buddy-ai/cmd/root.go:65.2,65.92 1 1
slack-buddy-ai/cmd/root.go:65.92,67.3 1 0
slack-buddy-ai/cmd/root.go:71.19,76.28 3 9
slack-buddy-ai/cmd/root.go:76.28,78.3 1 0
slack-buddy-ai/cmd/root.go:78.8,80.3 1 9
slack-buddy-ai/cmd/version.go:13.47,15.29 2 2
slack-buddy-ai/cmd/version.go:15.29,17.4 1 1
slack-buddy-ai/cmd/version.go:18.3,18.29 1 2
slack-buddy-ai/cmd/version.go:18.29,20.4 1 1
slack-buddy-ai/cmd/version.go:24.13,26.2 1 1
